,clean
1882,"premium unleaded (recommended),AUTOMATED_MANUAL,front wheel drive,Hatchback,Performance,Compact,2dr Hatchback,Volkswagen Beetle"
1883,"regular unleaded,AUTOMATIC,front wheel drive,Hatchback,Compact,2dr Hatchback,Volkswagen Beetle"
1884,"regular unleaded,AUTOMATIC,front wheel drive,Hatchback,Compact,2dr Hatchback,Volkswagen Beetle"
1885,"regular unleaded,AUTOMATIC,front wheel drive,Hatchback,Compact,2dr Hatchback,Volkswagen Beetle"
1886,"premium unleaded (recommended),MANUAL,front wheel drive,Hatchback,Performance,Compact,2dr Hatchback,Volkswagen Beetle"
1887,"regular unleaded,AUTOMATIC,front wheel drive,Hatchback,Compact,2dr Hatchback,Volkswagen Beetle"
1888,"premium unleaded (recommended),MANUAL,front wheel drive,Hatchback,Performance,Compact,2dr Hatchback,Volkswagen Beetle"
1889,"premium unleaded (recommended),AUTOMATED_MANUAL,front wheel drive,Hatchback,Performance,Compact,2dr Hatchback,Volkswagen Beetle"
1890,"regular unleaded,AUTOMATIC,front wheel drive,Hatchback,Compact,2dr Hatchback,Volkswagen Beetle"
1891,"regular unleaded,MANUAL,front wheel drive,Hatchback,Compact,2dr Hatchback,Volkswagen Beetle"
1892,"regular unleaded,AUTOMATIC,front wheel drive,Hatchback,Compact,2dr Hatchback,Volkswagen Beetle"
1893,"premium unleaded (recommended),MANUAL,front wheel drive,Hatchback,Performance,Compact,2dr Hatchback,Volkswagen Beetle"
1894,"premium unleaded (recommended),AUTOMATED_MANUAL,front wheel drive,Hatchback,Performance,Compact,2dr Hatchback,Volkswagen Beetle"
1895,"premium unleaded (recommended),MANUAL,front wheel drive,Hatchback,Performance,Compact,2dr Hatchback,Volkswagen Beetle"
1896,"regular unleaded,MANUAL,front wheel drive,Hatchback,Compact,2dr Hatchback,Volkswagen Beetle"
1897,"premium unleaded (recommended),MANUAL,front wheel drive,Hatchback,Performance,Compact,2dr Hatchback,Volkswagen Beetle"
1898,"diesel,MANUAL,front wheel drive,Hatchback,Diesel,Compact,2dr Hatchback,Volkswagen Beetle"
1899,"premium unleaded (recommended),MANUAL,front wheel drive,Hatchback,Performance,Compact,2dr Hatchback,Volkswagen Beetle"
1900,"premium unleaded (recommended),AUTOMATED_MANUAL,front wheel drive,Hatchback,Performance,Compact,2dr Hatchback,Volkswagen Beetle"
1901,"regular unleaded,MANUAL,front wheel drive,Hatchback,Compact,2dr Hatchback,Volkswagen Beetle"
1902,"premium unleaded (recommended),AUTOMATED_MANUAL,front wheel drive,Hatchback,Performance,Compact,2dr Hatchback,Volkswagen Beetle"
1903,"regular unleaded,MANUAL,front wheel drive,Hatchback,Compact,2dr Hatchback,Volkswagen Beetle"
1904,"diesel,AUTOMATED_MANUAL,front wheel drive,Hatchback,Diesel,Compact,2dr Hatchback,Volkswagen Beetle"
1905,"regular unleaded,MANUAL,front wheel drive,Hatchback,Compact,2dr Hatchback,Volkswagen Beetle"
1906,"diesel,AUTOMATED_MANUAL,front wheel drive,Hatchback,Diesel,Compact,2dr Hatchback,Volkswagen Beetle"
1907,"premium unleaded (recommended),MANUAL,front wheel drive,Hatchback,Performance,Compact,2dr Hatchback,Volkswagen Beetle"
1908,"regular unleaded,MANUAL,front wheel drive,Hatchback,Compact,2dr Hatchback,Volkswagen Beetle"
1909,"regular unleaded,MANUAL,front wheel drive,Hatchback,Compact,2dr Hatchback,Volkswagen Beetle"
1910,"diesel,MANUAL,front wheel drive,Hatchback,Diesel,Compact,2dr Hatchback,Volkswagen Beetle"
1911,"regular unleaded,MANUAL,front wheel drive,Hatchback,Compact,2dr Hatchback,Volkswagen Beetle"
1912,"diesel,AUTOMATED_MANUAL,front wheel drive,Hatchback,Diesel,Compact,2dr Hatchback,Volkswagen Beetle"
1913,"regular unleaded,AUTOMATIC,front wheel drive,Hatchback,Compact,2dr Hatchback,Volkswagen Beetle"
1914,"premium unleaded (recommended),AUTOMATED_MANUAL,front wheel drive,Hatchback,Performance,Compact,2dr Hatchback,Volkswagen Beetle"
1915,"regular unleaded,AUTOMATIC,front wheel drive,Hatchback,Compact,2dr Hatchback,Volkswagen Beetle"
1916,"premium unleaded (recommended),AUTOMATED_MANUAL,front wheel drive,Hatchback,Performance,Compact,2dr Hatchback,Volkswagen Beetle"
1917,"premium unleaded (recommended),MANUAL,front wheel drive,Hatchback,Performance,Compact,2dr Hatchback,Volkswagen Beetle"
1918,"premium unleaded (recommended),MANUAL,front wheel drive,Hatchback,Performance,Compact,2dr Hatchback,Volkswagen Beetle"
1919,"premium unleaded (recommended),MANUAL,front wheel drive,Hatchback,Performance,Compact,2dr Hatchback,Volkswagen Beetle"
1920,"premium unleaded (recommended),AUTOMATED_MANUAL,front wheel drive,Hatchback,Performance,Compact,2dr Hatchback,Volkswagen Beetle"
1921,"regular unleaded,MANUAL,front wheel drive,Hatchback,Compact,2dr Hatchback,Volkswagen Beetle"
1922,"diesel,MANUAL,front wheel drive,Hatchback,Diesel,Compact,2dr Hatchback,Volkswagen Beetle"
1923,"premium unleaded (recommended),AUTOMATED_MANUAL,front wheel drive,Hatchback,Performance,Compact,2dr Hatchback,Volkswagen Beetle"
1924,"premium unleaded (recommended),AUTOMATED_MANUAL,front wheel drive,Hatchback,Performance,Compact,2dr Hatchback,Volkswagen Beetle"
1925,"regular unleaded,AUTOMATIC,front wheel drive,Hatchback,Compact,2dr Hatchback,Volkswagen Beetle"
1926,"regular unleaded,AUTOMATIC,front wheel drive,Hatchback,Compact,2dr Hatchback,Volkswagen Beetle"
1927,"diesel,MANUAL,front wheel drive,Hatchback,Diesel,Compact,2dr Hatchback,Volkswagen Beetle"
1928,"regular unleaded,MANUAL,front wheel drive,Hatchback,Compact,2dr Hatchback,Volkswagen Beetle"
1929,"regular unleaded,AUTOMATIC,front wheel drive,Hatchback,Compact,2dr Hatchback,Volkswagen Beetle"
1930,"premium unleaded (recommended),MANUAL,front wheel drive,Hatchback,Performance,Compact,2dr Hatchback,Volkswagen Beetle"
1931,"premium unleaded (recommended),AUTOMATED_MANUAL,front wheel drive,Hatchback,Performance,Compact,2dr Hatchback,Volkswagen Beetle"
1932,"regular unleaded,AUTOMATIC,front wheel drive,Hatchback,Compact,2dr Hatchback,Volkswagen Beetle"
1933,"regular unleaded,AUTOMATIC,front wheel drive,Hatchback,Compact,2dr Hatchback,Volkswagen Beetle"
1934,"regular unleaded,AUTOMATIC,front wheel drive,Hatchback,Compact,2dr Hatchback,Volkswagen Beetle"
1935,"regular unleaded,MANUAL,front wheel drive,Hatchback,Compact,2dr Hatchback,Volkswagen Beetle"
1936,"premium unleaded (recommended),AUTOMATED_MANUAL,front wheel drive,Hatchback,Performance,Compact,2dr Hatchback,Volkswagen Beetle"
1937,"regular unleaded,AUTOMATIC,front wheel drive,Hatchback,Compact,2dr Hatchback,Volkswagen Beetle"
1938,"premium unleaded (recommended),MANUAL,front wheel drive,Hatchback,Performance,Compact,2dr Hatchback,Volkswagen Beetle"
1939,"premium unleaded (recommended),MANUAL,front wheel drive,Hatchback,Performance,Compact,2dr Hatchback,Volkswagen Beetle"
1940,"regular unleaded,AUTOMATIC,front wheel drive,Hatchback,Compact,2dr Hatchback,Volkswagen Beetle"
1941,"premium unleaded (recommended),AUTOMATED_MANUAL,front wheel drive,Hatchback,Performance,Compact,2dr Hatchback,Volkswagen Beetle"
1942,"regular unleaded,AUTOMATIC,front wheel drive,Hatchback,Compact,2dr Hatchback,Volkswagen Beetle"
1943,"regular unleaded,AUTOMATIC,front wheel drive,Hatchback,Compact,2dr Hatchback,Volkswagen Beetle"
1944,"premium unleaded (recommended),AUTOMATED_MANUAL,front wheel drive,Hatchback,Performance,Compact,2dr Hatchback,Volkswagen Beetle"
1945,"regular unleaded,MANUAL,front wheel drive,Hatchback,Compact,2dr Hatchback,Volkswagen Beetle"
1946,"regular unleaded,AUTOMATIC,front wheel drive,Hatchback,Compact,2dr Hatchback,Volkswagen Beetle"
1947,"premium unleaded (recommended),MANUAL,front wheel drive,Hatchback,Performance,Compact,2dr Hatchback,Volkswagen Beetle"
1948,"regular unleaded,AUTOMATIC,front wheel drive,Hatchback,Compact,2dr Hatchback,Volkswagen Beetle"
1949,"regular unleaded,AUTOMATIC,front wheel drive,Hatchback,Compact,2dr Hatchback,Volkswagen Beetle"
1950,"regular unleaded,AUTOMATIC,front wheel drive,Hatchback,Compact,2dr Hatchback,Volkswagen Beetle"
1951,"regular unleaded,AUTOMATIC,front wheel drive,Hatchback,Compact,2dr Hatchback,Volkswagen Beetle"
1952,"regular unleaded,AUTOMATIC,front wheel drive,Hatchback,Compact,2dr Hatchback,Volkswagen Beetle"
1953,"premium unleaded (recommended),AUTOMATED_MANUAL,front wheel drive,Hatchback,Performance,Compact,2dr Hatchback,Volkswagen Beetle"
1954,"regular unleaded,AUTOMATIC,front wheel drive,Hatchback,Compact,2dr Hatchback,Volkswagen Beetle"
1955,"regular unleaded,AUTOMATIC,front wheel drive,Hatchback,Compact,2dr Hatchback,Volkswagen Beetle"
1956,"regular unleaded,MANUAL,front wheel drive,Performance,Compact,Coupe,Chevrolet Beretta"
1957,"regular unleaded,MANUAL,front wheel drive,nan,Compact,Coupe,Chevrolet Beretta"
1958,"regular unleaded,MANUAL,front wheel drive,nan,Midsize,Coupe,Chevrolet Beretta"
1959,"regular unleaded,AUTOMATIC,front wheel drive,Performance,Midsize,Coupe,Chevrolet Beretta"
1960,"regular unleaded,MANUAL,front wheel drive,nan,Midsize,Coupe,Chevrolet Beretta"
1961,"regular unleaded,AUTOMATIC,front wheel drive,Performance,Midsize,Coupe,Chevrolet Beretta"
1962,"flex-fuel (unleaded/E85),AUTOMATIC,four wheel drive,Crossover,Flex Fuel,Large,Crew Cab Pickup,Chevrolet Black Diamond Avalanche"
1963,"flex-fuel (unleaded/E85),AUTOMATIC,four wheel drive,Crossover,Flex Fuel,Large,Crew Cab Pickup,Chevrolet Black Diamond Avalanche"
1964,"flex-fuel (unleaded/E85),AUTOMATIC,rear wheel drive,Crossover,Flex Fuel,Large,Crew Cab Pickup,Chevrolet Black Diamond Avalanche"
1965,"flex-fuel (unleaded/E85),AUTOMATIC,rear wheel drive,Crossover,Flex Fuel,Large,Crew Cab Pickup,Chevrolet Black Diamond Avalanche"
1966,"flex-fuel (unleaded/E85),AUTOMATIC,four wheel drive,Crossover,Flex Fuel,Large,Crew Cab Pickup,Chevrolet Black Diamond Avalanche"
1967,"flex-fuel (unleaded/E85),AUTOMATIC,rear wheel drive,Crossover,Flex Fuel,Large,Crew Cab Pickup,Chevrolet Black Diamond Avalanche"
1968,"premium unleaded (required),AUTOMATIC,rear wheel drive,Luxury,Large,Crew Cab Pickup,Lincoln Blackwood"
1969,"regular unleaded,MANUAL,rear wheel drive,nan,Compact,2dr SUV,Chevrolet Blazer"
1970,"regular unleaded,MANUAL,four wheel drive,nan,Compact,2dr SUV,Chevrolet Blazer"
1971,"regular unleaded,AUTOMATIC,rear wheel drive,nan,Midsize,4dr SUV,Chevrolet Blazer"
1972,"regular unleaded,AUTOMATIC,four wheel drive,nan,Midsize,4dr SUV,Chevrolet Blazer"
1973,"regular unleaded,MANUAL,rear wheel drive,nan,Compact,2dr SUV,Chevrolet Blazer"
1974,"regular unleaded,AUTOMATIC,rear wheel drive,nan,Midsize,4dr SUV,Chevrolet Blazer"
1975,"regular unleaded,AUTOMATIC,four wheel drive,nan,Midsize,4dr SUV,Chevrolet Blazer"
1976,"regular unleaded,MANUAL,four wheel drive,nan,Compact,2dr SUV,Chevrolet Blazer"
1977,"regular unleaded,MANUAL,rear wheel drive,nan,Compact,2dr SUV,Chevrolet Blazer"
1978,"regular unleaded,MANUAL,rear wheel drive,nan,Compact,2dr SUV,Chevrolet Blazer"
1979,"regular unleaded,MANUAL,four wheel drive,nan,Compact,2dr SUV,Chevrolet Blazer"
1980,"regular unleaded,MANUAL,rear wheel drive,nan,Compact,2dr SUV,Chevrolet Blazer"
1981,"regular unleaded,AUTOMATIC,rear wheel drive,nan,Midsize,4dr SUV,Chevrolet Blazer"
1982,"regular unleaded,AUTOMATIC,four wheel drive,nan,Midsize,4dr SUV,Chevrolet Blazer"
1983,"electric,DIRECT_DRIVE,front wheel drive,Hatchback,Compact,4dr Hatchback,Chevrolet Bolt EV"
1984,"electric,DIRECT_DRIVE,front wheel drive,Hatchback,Compact,4dr Hatchback,Chevrolet Bolt EV"
1985,"regular unleaded,AUTOMATIC,front wheel drive,nan,Large,Sedan,Pontiac Bonneville"
1986,"regular unleaded,AUTOMATIC,front wheel drive,nan,Large,Sedan,Pontiac Bonneville"
1987,"premium unleaded (required),AUTOMATIC,front wheel drive,Performance,Large,Sedan,Pontiac Bonneville"
1988,"regular unleaded,AUTOMATIC,front wheel drive,nan,Large,Sedan,Pontiac Bonneville"
1989,"premium unleaded (required),AUTOMATIC,front wheel drive,Performance,Large,Sedan,Pontiac Bonneville"
1990,"regular unleaded,AUTOMATIC,front wheel drive,nan,Large,Sedan,Pontiac Bonneville"
1991,"premium unleaded (required),AUTOMATIC,front wheel drive,Performance,Large,Sedan,Pontiac Bonneville"
1992,"regular unleaded,AUTOMATIC,front wheel drive,nan,Large,Sedan,Pontiac Bonneville"
1993,"regular unleaded,AUTOMATIC,front wheel drive,nan,Large,Sedan,Pontiac Bonneville"
1994,"regular unleaded,AUTOMATIC,rear wheel drive,nan,Midsize,4dr SUV,Kia Borrego"
1995,"regular unleaded,AUTOMATIC,rear wheel drive,nan,Midsize,4dr SUV,Kia Borrego"
1996,"regular unleaded,AUTOMATIC,four wheel drive,nan,Midsize,4dr SUV,Kia Borrego"
1997,"regular unleaded,AUTOMATIC,rear wheel drive,nan,Midsize,4dr SUV,Kia Borrego"
1998,"regular unleaded,AUTOMATIC,four wheel drive,nan,Midsize,4dr SUV,Kia Borrego"
1999,"regular unleaded,AUTOMATIC,rear wheel drive,nan,Midsize,4dr SUV,Kia Borrego"
2000,"regular unleaded,AUTOMATIC,four wheel drive,nan,Midsize,4dr SUV,Kia Borrego"
2001,"regular unleaded,AUTOMATIC,four wheel drive,nan,Midsize,4dr SUV,Kia Borrego"
2002,"regular unleaded,AUTOMATIC,four wheel drive,nan,Midsize,4dr SUV,Kia Borrego"
2003,"premium unleaded (required),MANUAL,rear wheel drive,Luxury,High-Performance,Compact,Convertible,Porsche Boxster"
2004,"premium unleaded (required),MANUAL,rear wheel drive,Luxury,High-Performance,Compact,Convertible,Porsche Boxster"
2005,"premium unleaded (required),MANUAL,rear wheel drive,Luxury,High-Performance,Compact,Convertible,Porsche Boxster"
2006,"premium unleaded (required),MANUAL,rear wheel drive,Luxury,High-Performance,Compact,Convertible,Porsche Boxster"
2007,"premium unleaded (required),MANUAL,rear wheel drive,Luxury,High-Performance,Compact,Convertible,Porsche Boxster"
2008,"premium unleaded (required),MANUAL,rear wheel drive,Luxury,High-Performance,Compact,Convertible,Porsche Boxster"
2009,"premium unleaded (required),MANUAL,rear wheel drive,Luxury,High-Performance,Compact,Convertible,Porsche Boxster"
2010,"premium unleaded (required),MANUAL,rear wheel drive,Luxury,High-Performance,Compact,Convertible,Porsche Boxster"
2011,"regular unleaded,AUTOMATIC,all wheel drive,nan,Midsize,4dr SUV,Oldsmobile Bravada"
2012,"regular unleaded,AUTOMATIC,rear wheel drive,nan,Midsize,4dr SUV,Oldsmobile Bravada"
2013,"regular unleaded,AUTOMATIC,rear wheel drive,nan,Midsize,4dr SUV,Oldsmobile Bravada"
2014,"regular unleaded,AUTOMATIC,rear wheel drive,nan,Midsize,4dr SUV,Oldsmobile Bravada"
2015,"regular unleaded,AUTOMATIC,all wheel drive,nan,Midsize,4dr SUV,Oldsmobile Bravada"
2016,"regular unleaded,AUTOMATIC,rear wheel drive,nan,Midsize,4dr SUV,Oldsmobile Bravada"
2017,"regular unleaded,AUTOMATIC,all wheel drive,nan,Midsize,4dr SUV,Oldsmobile Bravada"
2018,"regular unleaded,MANUAL,front wheel drive,nan,Midsize,Sedan,Plymouth Breeze"
2019,"regular unleaded,MANUAL,front wheel drive,nan,Midsize,Sedan,Plymouth Breeze"
2020,"regular unleaded,MANUAL,front wheel drive,nan,Midsize,Sedan,Plymouth Breeze"
2021,"regular unleaded,MANUAL,front wheel drive,nan,Midsize,Sedan,Plymouth Breeze"
2022,"regular unleaded,MANUAL,front wheel drive,nan,Midsize,Sedan,Plymouth Breeze"
2023,"regular unleaded,MANUAL,rear wheel drive,nan,Compact,2dr SUV,Ford Bronco II"
2024,"regular unleaded,MANUAL,rear wheel drive,nan,Compact,2dr SUV,Ford Bronco II"
2025,"regular unleaded,MANUAL,four wheel drive,nan,Compact,2dr SUV,Ford Bronco II"
2026,"regular unleaded,MANUAL,four wheel drive,nan,Compact,2dr SUV,Ford Bronco II"
2027,"regular unleaded,MANUAL,four wheel drive,nan,Compact,2dr SUV,Ford Bronco II"
2028,"regular unleaded,MANUAL,rear wheel drive,nan,Compact,2dr SUV,Ford Bronco II"
2029,"regular unleaded,MANUAL,four wheel drive,nan,Compact,2dr SUV,Ford Bronco II"
2030,"regular unleaded,MANUAL,rear wheel drive,nan,Compact,2dr SUV,Ford Bronco II"
2031,"regular unleaded,MANUAL,four wheel drive,nan,Midsize,2dr SUV,Ford Bronco"
2032,"regular unleaded,AUTOMATIC,four wheel drive,nan,Midsize,2dr SUV,Ford Bronco"
2033,"regular unleaded,MANUAL,four wheel drive,nan,Midsize,2dr SUV,Ford Bronco"
2034,"regular unleaded,MANUAL,four wheel drive,nan,Midsize,2dr SUV,Ford Bronco"
2035,"regular unleaded,AUTOMATIC,four wheel drive,nan,Midsize,2dr SUV,Ford Bronco"
2036,"regular unleaded,MANUAL,four wheel drive,nan,Midsize,2dr SUV,Ford Bronco"
2037,"regular unleaded,MANUAL,four wheel drive,nan,Midsize,2dr SUV,Ford Bronco"
2038,"regular unleaded,MANUAL,four wheel drive,nan,Midsize,2dr SUV,Ford Bronco"
2039,"regular unleaded,AUTOMATIC,four wheel drive,nan,Midsize,2dr SUV,Ford Bronco"
2040,"premium unleaded (required),AUTOMATIC,rear wheel drive,Exotic,Luxury,High-Performance,Large,Coupe,Bentley Brooklands"
2041,"premium unleaded (required),AUTOMATIC,rear wheel drive,Exotic,Luxury,High-Performance,Large,Coupe,Bentley Brooklands"
2042,"regular unleaded,AUTOMATIC,rear wheel drive,Luxury,Large,Sedan,Cadillac Brougham"
2043,"regular unleaded,AUTOMATIC,rear wheel drive,Luxury,Large,Sedan,Cadillac Brougham"
2044,"regular unleaded,AUTOMATIC,rear wheel drive,Luxury,Large,Sedan,Cadillac Brougham"
2045,"regular unleaded,AUTOMATIC,rear wheel drive,Luxury,Large,Sedan,Cadillac Brougham"
2046,"premium unleaded (required),MANUAL,rear wheel drive,Performance,Compact,Coupe,Subaru BRZ"
2047,"premium unleaded (required),AUTOMATIC,rear wheel drive,Performance,Compact,Coupe,Subaru BRZ"
2048,"premium unleaded (required),MANUAL,rear wheel drive,Performance,Compact,Coupe,Subaru BRZ"
2049,"premium unleaded (required),MANUAL,rear wheel drive,Performance,Compact,Coupe,Subaru BRZ"
2050,"premium unleaded (required),MANUAL,rear wheel drive,Performance,Compact,Coupe,Subaru BRZ"
2051,"premium unleaded (required),MANUAL,rear wheel drive,Performance,Compact,Coupe,Subaru BRZ"
2052,"premium unleaded (required),AUTOMATIC,rear wheel drive,Performance,Compact,Coupe,Subaru BRZ"
2053,"premium unleaded (required),MANUAL,rear wheel drive,Performance,Compact,Coupe,Subaru BRZ"
2054,"premium unleaded (required),AUTOMATIC,rear wheel drive,Performance,Compact,Coupe,Subaru BRZ"
2055,"premium unleaded (required),MANUAL,rear wheel drive,Performance,Compact,Coupe,Subaru BRZ"
2056,"premium unleaded (required),MANUAL,rear wheel drive,Performance,Compact,Coupe,Subaru BRZ"
2057,"premium unleaded (required),MANUAL,rear wheel drive,Performance,Compact,Coupe,Subaru BRZ"
2058,"premium unleaded (required),AUTOMATIC,all wheel drive,Luxury,Midsize,Sedan,Mercedes-Benz C-Class"
2059,"premium unleaded (required),AUTOMATIC,all wheel drive,Luxury,Performance,Compact,Coupe,Mercedes-Benz C-Class"
2060,"premium unleaded (required),AUTOMATIC,all wheel drive,Luxury,Midsize,Sedan,Mercedes-Benz C-Class"
2061,"premium unleaded (required),AUTOMATIC,rear wheel drive,Factory Tuner,Luxury,High-Performance,Compact,Coupe,Mercedes-Benz C-Class"
2062,"premium unleaded (required),AUTOMATIC,rear wheel drive,Luxury,Midsize,Sedan,Mercedes-Benz C-Class"
2063,"premium unleaded (required),AUTOMATIC,rear wheel drive,Luxury,High-Performance,Compact,Coupe,Mercedes-Benz C-Class"
2064,"premium unleaded (required),AUTOMATIC,all wheel drive,Luxury,Midsize,Sedan,Mercedes-Benz C-Class"
2065,"premium unleaded (required),AUTOMATIC,all wheel drive,Luxury,High-Performance,Midsize,Sedan,Mercedes-Benz C-Class"
2066,"premium unleaded (required),AUTOMATIC,rear wheel drive,Luxury,Midsize,Sedan,Mercedes-Benz C-Class"
2067,"premium unleaded (required),AUTOMATIC,rear wheel drive,Factory Tuner,Luxury,High-Performance,Midsize,Sedan,Mercedes-Benz C-Class"
2068,"premium unleaded (required),AUTOMATIC,rear wheel drive,Luxury,Midsize,Sedan,Mercedes-Benz C-Class"
2069,"premium unleaded (required),AUTOMATIC,rear wheel drive,Factory Tuner,Luxury,High-Performance,Midsize,Sedan,Mercedes-Benz C-Class"
2070,"premium unleaded (required),AUTOMATIC,rear wheel drive,Luxury,Compact,Coupe,Mercedes-Benz C-Class"
2071,"premium unleaded (required),AUTOMATIC,all wheel drive,Luxury,Midsize,Sedan,Mercedes-Benz C-Class"
2072,"premium unleaded (required),AUTOMATIC,all wheel drive,Factory Tuner,Luxury,High-Performance,Midsize,Sedan,Mercedes-Benz C-Class"
2073,"premium unleaded (required),AUTOMATIC,rear wheel drive,Luxury,Midsize,Sedan,Mercedes-Benz C-Class"
2074,"premium unleaded (required),AUTOMATIC,all wheel drive,Luxury,Midsize,Sedan,Mercedes-Benz C-Class"
2075,"premium unleaded (required),AUTOMATIC,rear wheel drive,Factory Tuner,Luxury,High-Performance,Midsize,Sedan,Mercedes-Benz C-Class"
2076,"premium unleaded (required),AUTOMATIC,rear wheel drive,Factory Tuner,Luxury,High-Performance,Midsize,Sedan,Mercedes-Benz C-Class"
2077,"premium unleaded (required),AUTOMATIC,rear wheel drive,Luxury,Midsize,Sedan,Mercedes-Benz C-Class"
2078,"premium unleaded (required),AUTOMATIC,rear wheel drive,Luxury,Midsize,Sedan,Mercedes-Benz C-Class"
2079,"premium unleaded (required),AUTOMATIC,all wheel drive,Luxury,Midsize,Sedan,Mercedes-Benz C-Class"
2080,"premium unleaded (required),AUTOMATIC,rear wheel drive,Luxury,Midsize,Sedan,Mercedes-Benz C-Class"
2081,"premium unleaded (required),AUTOMATIC,rear wheel drive,Luxury,Midsize,Sedan,Mercedes-Benz C-Class"
2082,"premium unleaded (required),AUTOMATIC,all wheel drive,Factory Tuner,Luxury,High-Performance,Midsize,Sedan,Mercedes-Benz C-Class"
2083,"premium unleaded (required),AUTOMATIC,rear wheel drive,Factory Tuner,Luxury,High-Performance,Midsize,Sedan,Mercedes-Benz C-Class"
2084,"premium unleaded (required),AUTOMATIC,rear wheel drive,Factory Tuner,Luxury,High-Performance,Midsize,Coupe,Mercedes-Benz C-Class"
2085,"premium unleaded (required),AUTOMATIC,rear wheel drive,Luxury,Midsize,Sedan,Mercedes-Benz C-Class"
2086,"premium unleaded (required),AUTOMATIC,all wheel drive,Luxury,Midsize,Coupe,Mercedes-Benz C-Class"
2087,"premium unleaded (required),AUTOMATIC,rear wheel drive,Luxury,Midsize,Coupe,Mercedes-Benz C-Class"
2088,"premium unleaded (required),AUTOMATIC,all wheel drive,Luxury,Midsize,Sedan,Mercedes-Benz C-Class"
2089,"premium unleaded (required),AUTOMATIC,rear wheel drive,Factory Tuner,Luxury,High-Performance,Midsize,Sedan,Mercedes-Benz C-Class"
2090,"premium unleaded (required),AUTOMATIC,all wheel drive,Luxury,Midsize,Sedan,Mercedes-Benz C-Class"
2091,"premium unleaded (required),AUTOMATIC,all wheel drive,Luxury,Midsize,Sedan,Mercedes-Benz C-Class"
2092,"premium unleaded (required),AUTOMATIC,rear wheel drive,Factory Tuner,Luxury,High-Performance,Midsize,Coupe,Mercedes-Benz C-Class"
2093,"premium unleaded (required),AUTOMATIC,all wheel drive,Luxury,Midsize,Convertible,Mercedes-Benz C-Class"
2094,"premium unleaded (required),AUTOMATIC,rear wheel drive,Luxury,Midsize,Convertible,Mercedes-Benz C-Class"
2095,"regular unleaded,AUTOMATIC,front wheel drive,Hybrid,Compact,Wagon,Ford C-Max Hybrid"
2096,"regular unleaded,AUTOMATIC,front wheel drive,Hybrid,Compact,Wagon,Ford C-Max Hybrid"
2097,"regular unleaded,AUTOMATIC,front wheel drive,Hybrid,Compact,Wagon,Ford C-Max Hybrid"
2098,"regular unleaded,AUTOMATIC,front wheel drive,Hybrid,Compact,Wagon,Ford C-Max Hybrid"
2099,"regular unleaded,AUTOMATIC,front wheel drive,Hybrid,Compact,Wagon,Ford C-Max Hybrid"
2100,"regular unleaded,AUTOMATIC,front wheel drive,Hybrid,Compact,Wagon,Ford C-Max Hybrid"
2101,"premium unleaded (recommended),MANUAL,front wheel drive,Hatchback,Luxury,Compact,2dr Hatchback,Volvo C30"
2102,"premium unleaded (recommended),MANUAL,front wheel drive,Hatchback,Luxury,Performance,Compact,2dr Hatchback,Volvo C30"
2103,"premium unleaded (recommended),MANUAL,front wheel drive,Hatchback,Luxury,Performance,Compact,2dr Hatchback,Volvo C30"
2104,"premium unleaded (recommended),MANUAL,front wheel drive,Hatchback,Luxury,Compact,2dr Hatchback,Volvo C30"
2105,"regular unleaded,MANUAL,front wheel drive,Hatchback,Luxury,Compact,2dr Hatchback,Volvo C30"
2106,"regular unleaded,MANUAL,front wheel drive,Hatchback,Luxury,Performance,Compact,2dr Hatchback,Volvo C30"
2107,"regular unleaded,AUTOMATIC,rear wheel drive,Factory Tuner,Luxury,Performance,Compact,Sedan,Mercedes-Benz C36 AMG"
2108,"regular unleaded,AUTOMATIC,rear wheel drive,Factory Tuner,Luxury,Performance,Compact,Sedan,Mercedes-Benz C36 AMG"
2109,"regular unleaded,AUTOMATIC,rear wheel drive,Factory Tuner,Luxury,Performance,Compact,Sedan,Mercedes-Benz C36 AMG"
2110,"regular unleaded,AUTOMATIC,rear wheel drive,Factory Tuner,Luxury,Performance,Compact,Sedan,Mercedes-Benz C43 AMG"
2111,"regular unleaded,AUTOMATIC,rear wheel drive,Factory Tuner,Luxury,Performance,Compact,Sedan,Mercedes-Benz C43 AMG"
2112,"regular unleaded,AUTOMATIC,rear wheel drive,Factory Tuner,Luxury,Performance,Compact,Sedan,Mercedes-Benz C43 AMG"
2113,"premium unleaded (recommended),AUTOMATIC,front wheel drive,Luxury,Compact,Convertible,Volvo C70"
2114,"premium unleaded (recommended),AUTOMATIC,front wheel drive,Luxury,Compact,Convertible,Volvo C70"
2115,"regular unleaded,AUTOMATIC,front wheel drive,Luxury,Compact,Convertible,Volvo C70"
2116,"premium unleaded (required),MANUAL,rear wheel drive,Exotic,High-Performance,Compact,Coupe,Spyker C8"
2117,"premium unleaded (required),MANUAL,rear wheel drive,Exotic,High-Performance,Compact,Convertible,Spyker C8"
2118,"premium unleaded (required),MANUAL,rear wheel drive,Exotic,High-Performance,Compact,Coupe,Spyker C8"
2119,"regular unleaded,AUTOMATIC,front wheel drive,Luxury,Compact,Convertible,Audi Cabriolet"
2120,"regular unleaded,AUTOMATIC,front wheel drive,Luxury,Compact,Convertible,Audi Cabriolet"
2121,"regular unleaded,AUTOMATIC,front wheel drive,Luxury,Compact,Convertible,Audi Cabriolet"
